epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,10103,0.45165,0.05185,0.02476,0.29391,1.00998,0.99474,0.98875,0.994,0.92963,0.99369,0.99082,0.99418,0.99328,0.43979,0.03102,0.0006,0.20391,0.99568,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,10350.6,0.44871,0.05272,0.02531,0.29383,1.00219,0.99513,0.98884,0.99399,0.92854,0.99557,0.98927,0.99417,0.99333,0.43483,0.0311,0.00074,0.19998,0.99178,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,10598.3,0.44735,0.0536,0.0251,0.29422,1.00297,0.99498,0.9899,0.99419,0.93023,0.99551,0.99043,0.99434,0.9935,0.40879,0.03084,0.00138,0.19792,0.98051,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,10846.4,0.44399,0.0527,0.02464,0.2918,1.00113,0.99594,0.98962,0.9942,0.92465,0.99599,0.99006,0.99431,0.99358,0.44664,0.03104,0.00087,0.19728,0.99533,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,11093.4,0.44024,0.05221,0.02311,0.28758,0.99954,0.99475,0.99263,0.99413,0.93079,0.99526,0.99302,0.99438,0.99364,0.40994,0.0295,0.00039,0.20868,0.97669,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,11341,0.43899,0.05087,0.0233,0.28828,0.9967,0.99474,0.99169,0.99421,0.93045,0.99467,0.99215,0.99431,0.99365,0.41039,0.02798,0.00044,0.18934,0.97964,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,11588.8,0.43925,0.05077,0.02315,0.28669,0.99652,0.99413,0.99191,0.99416,0.92987,0.99474,0.99252,0.99427,0.99371,0.41454,0.02883,0.00066,0.19187,0.97953,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,11835.3,0.43331,0.04924,0.0227,0.28334,0.99608,0.99432,0.99163,0.99406,0.92987,0.99485,0.99215,0.99424,0.99359,0.42417,0.02855,0.00043,0.20462,0.98173,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,12081.9,0.43491,0.04775,0.02186,0.28462,0.99658,0.99517,0.99124,0.99419,0.93347,0.99552,0.99159,0.99435,0.99371,0.40401,0.02783,0.00054,0.18594,0.97473,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,12328.9,0.42986,0.04721,0.02175,0.27878,0.99226,0.99679,0.99084,0.99433,0.9341,0.99705,0.99119,0.9944,0.99374,0.39901,0.02807,0.00037,0.183,0.97394,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,12576.8,0.42842,0.04784,0.02213,0.28074,0.99153,0.99495,0.99224,0.99423,0.93541,0.99518,0.99252,0.99436,0.99378,0.40195,0.02877,0.00034,0.18412,0.97441,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,12825.6,0.42406,0.04684,0.02102,0.2783,0.98915,0.99542,0.99189,0.99406,0.93531,0.99586,0.99215,0.99418,0.99362,0.38491,0.028,0.00041,0.17982,0.96623,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
